CMDLINE python api/main.py
MEM 2.042969 1743332798.8403
MEM 14.734375 1743332798.9437
MEM 21.726562 1743332799.0441
MEM 25.582031 1743332799.1445
MEM 27.550781 1743332799.2452
MEM 29.382812 1743332799.3458
MEM 42.632812 1743332799.4462
MEM 43.625000 1743332799.5468
MEM 43.625000 1743332799.6475
MEM 43.722656 1743332799.7479
MEM 43.796875 1743332799.8485
MEM 35.882812 1743332799.9489
MEM 36.734375 1743332800.0497
MEM 41.496094 1743332800.1503
MEM 43.750000 1743332800.2507
MEM 45.875000 1743332800.3513
MEM 46.011719 1743332800.4521
